Fecha sistema,Fecha (DD/MM/AAAA),Nombre del índice,Índice,Variación absoluta,Variación porcentual
08/09/2026 12:56:07,2008-06-18 00:00:00,Índice del mercado bursátil colombiano - COLCAP,972.1297,-7.7146,-0.7873
08/09/2026 12:56:07,2008-06-19 00:00:00,Índice del mercado bursátil colombiano - COLCAP,941.4709,-30.6588,-3.1538
08/09/2026 12:56:07,2008-06-20 00:00:00,Índice del mercado bursátil colombiano - COLCAP,959.266,17.7951,1.8901
08/09/2026 12:56:07,2008-06-23 00:00:00,Índice del mercado bursátil colombiano - COLCAP,959.1293,-0.1367,-0.0143
08/09/2026 12:56:07,2008-06-24 00:00:00,Índice del mercado bursátil colombiano - COLCAP,956.2226,-2.9067,-0.3031
08/09/2026 12:56:07,2008-06-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,956.1381,-0.0845,-0.0088
08/09/2026 12:56:07,2008-06-26 00:00:00,Índice del mercado bursátil colombiano - COLCAP,942.9866,-13.1515,-1.3755
08/09/2026 12:56:07,2008-06-27 00:00:00,Índice del mercado bursátil colombiano - COLCAP,945.3059,2.3193,0.246
08/09/2026 12:56:07,2008-07-01 00:00:00,Índice del mercado bursátil colombiano - COLCAP,924.7011,-20.6048,-2.1797
08/09/2026 12:56:07,2008-07-02 00:00:00,Índice del mercado bursátil colombiano - COLCAP,924.4749,-0.2262,-0.0245
08/09/2026 12:56:07,2008-07-03 00:00:00,Índice del mercado bursátil colombiano - COLCAP,938.4365,13.9616,1.5102
08/09/2026 12:56:07,2008-07-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,943.7551,5.3186,0.5668
08/09/2026 12:56:07,2008-07-07 00:00:00,Índice del mercado bursátil colombiano - COLCAP,936.9359,-6.8192,-0.7226
08/09/2026 12:56:07,2008-07-08 00:00:00,Índice del mercado bursátil colombiano - COLCAP,925.6642,-11.2717,-1.203
08/09/2026 12:56:07,2008-07-09 00:00:00,Índice del mercado bursátil colombiano - COLCAP,932.3546,6.6904,0.7228
